"id","name_ru","name_en","kind_ru","kind_en","summary_ru","summary_en","net_weight_g","image","ingredients_ru","ingredients_en","allergens_ru","allergens_en","calories_kcal","protein_g","fat_g","carbohydrate_g","saturated_fat_g","without_sodium_nitrite","halal_status","publish","review_status","nutrition_status","composition_status","evidence_status","evidence_refs"
"vetchina","Ветчина филейная","Chicken fillet ham","Ветчина","Chicken ham","Куриная ветчина с мягким вкусом и полностью раскрытым составом.","Mild chicken ham with a fully disclosed ingredient list.","150","/packshots/sku-vetchina-f7a3c1.jpg","Филе бедра куриное, филе грудки куриной, вода питьевая, молочный белок, сывороточный белок, сухое молоко, экстракты фруктов и пряностей (помело, лимон, смесь чёрного и белого перца), соль, соль поваренная пищевая, дрожжевой экстракт (пивные дрожжи), экстракты цитрусовых (лимон, лайм, апельсин, помело), глюкоза, экстракты пряностей (чеснок, перец чёрный, мускатный орех), ароматизатор, мальтодекстрин.","Chicken thigh fillet, chicken breast fillet, drinking water, milk protein, whey protein, milk powder, fruit and spice extracts (pomelo, lemon, black and white pepper blend), salt, table salt, yeast extract (brewer's yeast), citrus extracts (lemon, lime, orange, pomelo), glucose, spice extracts (garlic, black pepper, nutmeg), flavouring, maltodextrin.","Молоко","Milk","125","16.7","6","0.4","2.1","true","verified","true","fully-reviewed","calculated","recipe-sourced","internal-reviewed","recipe-current;halal-614a-2024"
"mramornaya","Колбаса варёно-копчёная «Мраморная»","Mramornaya cooked smoked sausage","Колбаса варёно-копчёная","Cooked smoked sausage","Колбаса из курицы и говядины с пряным мясным профилем.","Chicken and beef sausage with a savoury spiced profile.","500","/packshots/sku-mramornaya-f7a3c1.jpg","Филе бедра куриное, кожа птицы, говядина, жир говяжий, вода питьевая, соль поваренная пищевая, экстракты фруктов и пряностей (помело, лимон, смесь чёрного и белого перца), соль, виноградный сахар, мальтодекстрин, сухой глюкозный сироп, дрожжевой экстракт, ароматизатор со вкусом мяса, экстракт барбадосской вишни, сухой лимонный сок, пряности и их экстракты (чёрный и белый перец, мускатный орех, чеснок, душистый перец), экстракты цитрусовых (лимон, лайм, апельсин, помело), глюкоза, ароматизатор типа «мясо», экстракты мускатного ореха, имбиря и кориандра, ароматизатор типа «мясо» с ароматом говядины.","Chicken thigh fillet, poultry skin, beef, beef fat, drinking water, table salt, fruit and spice extracts (pomelo, lemon, black and white pepper blend), salt, grape sugar, maltodextrin, dried glucose syrup, yeast extract, meat-flavour flavouring, Barbados cherry extract, dried lemon juice, spices and extracts (black and white pepper, nutmeg, garlic, allspice), citrus extracts (lemon, lime, orange, pomelo), glucose, meat-type flavouring, nutmeg, ginger and coriander extracts, beef-flavour meat-type flavouring.","Не заявлены в текущей рецептуре","None declared in the current recipe","264","14.9","21.9","0.5","7.7","true","not-claimed","true","fully-reviewed","calculated","recipe-sourced","internal-reviewed","recipe-current"
"brokkoli","Сосиски с брокколи","Sausages with broccoli","Сосиски","Sausages","Сосиски из курицы и говядины с брокколи и мягким пряным вкусом.","Chicken and beef sausages with broccoli and gentle spices.","400","/packshots/sku-brokkoli-f7a3c1.jpg","Филе голени куриное, вода питьевая, жир говяжий, говядина, филе куриное, кожа птицы, брокколи, молочный белок, сывороточный белок, сухое молоко, яйца куриные (меланж), экстракты фруктов и пряностей (помело, лимон, смесь чёрного и белого перца), соль, дрожжевой экстракт (пивные дрожжи), экстракты цитрусовых (лимон, лайм, апельсин, помело), сахар, пряности и их экстракты (чёрный перец, мускатный орех, душистый перец), соль поваренная пищевая, мальтодекстрин, глюкоза, крахмал кукурузный, ароматизатор.","Chicken drumstick fillet, drinking water, beef fat, beef, chicken fillet, poultry skin, broccoli, milk protein, whey protein, milk powder, chicken egg melange, fruit and spice extracts (pomelo, lemon, black and white pepper blend), salt, yeast extract (brewer's yeast), citrus extracts (lemon, lime, orange, pomelo), sugar, spices and extracts (black pepper, nutmeg, allspice), table salt, maltodextrin, glucose, corn starch, flavouring.","Молоко, яйца","Milk, eggs","230","13","19","1.5","6.6","true","verified","true","fully-reviewed","calculated","recipe-sourced","internal-reviewed","recipe-current;halal-614a-2024"
"molochnye","Сосиски «Молочные»","Molochnye milk sausages","Сосиски","Sausages","Классический мягкий профиль и состав, раскрытый до ингредиентов добавок.","A mild classic profile with compound ingredients fully disclosed.","500","/packshots/sku-molochnye-f7a3c1.jpg","Филе голени куриное, вода питьевая, жир говяжий, говядина, филе куриное, кожа птицы, молочный белок, сывороточный белок, сухое молоко, яйца куриные (меланж), экстракты фруктов и пряностей (помело, лимон, смесь чёрного и белого перца), соль, дрожжевой экстракт (пивные дрожжи), экстракты цитрусовых (лимон, лайм, апельсин, помело), сахар, пряности и их экстракты (чёрный перец, мускатный орех, душистый перец), соль поваренная пищевая, мальтодекстрин, глюкоза, крахмал кукурузный, ароматизатор.","Chicken drumstick fillet, drinking water, beef fat, beef, chicken fillet, poultry skin, milk protein, whey protein, milk powder, chicken egg melange, fruit and spice extracts (pomelo, lemon, black and white pepper blend), salt, yeast extract (brewer's yeast), citrus extracts (lemon, lime, orange, pomelo), sugar, spices and extracts (black pepper, nutmeg, allspice), table salt, maltodextrin, glucose, corn starch, flavouring.","Молоко, яйца","Milk, eggs","239","13.5","19.9","1.2","7","true","verified","true","fully-reviewed","calculated","recipe-sourced","internal-reviewed","recipe-current;halal-614a-2024"
"slivochnaya","Колбаса варёная «Сливочная»","Slivochnaya cooked sausage","Колбаса варёная","Cooked sausage","Нежный сливочный профиль с полностью раскрытым составом.","A gentle creamy profile with a fully disclosed ingredient list.","400","/packshots/sku-slivochnaya-f7a3c1.jpg","Филе бедра куриное, вода питьевая, говядина, филе куриное, кожа птицы, жир говяжий, молочный белок, сывороточный белок, сухое молоко, яйца куриные (меланж), экстракты фруктов и пряностей (помело, лимон, смесь чёрного и белого перца), соль, глюкоза, экстракты пряностей (чёрный перец, мускатный орех, имбирь), ароматизатор типа «сливки», дрожжевой экстракт (пивные дрожжи), экстракты цитрусовых (лимон, лайм, апельсин, помело), соль поваренная пищевая, мальтодекстрин, крахмал кукурузный, ароматизатор.","Chicken thigh fillet, drinking water, beef, chicken fillet, poultry skin, beef fat, milk protein, whey protein, milk powder, chicken egg melange, fruit and spice extracts (pomelo, lemon, black and white pepper blend), salt, glucose, spice extracts (black pepper, nutmeg, ginger), cream-type flavouring, yeast extract (brewer's yeast), citrus extracts (lemon, lime, orange, pomelo), table salt, maltodextrin, corn starch, flavouring.","Молоко, яйца","Milk, eggs","174","14.4","12.2","0.7","4.3","true","verified","true","fully-reviewed","calculated","recipe-sourced","internal-reviewed","recipe-current;halal-614a-2024"
